filename,label
dataset/train/snail/snail (317).jpg,snail
dataset/train/wasp/wasp (879).jpg,wasp
dataset/train/bees/bees (383).jpg,bees
dataset/train/grasshopper/grasshopper (364).jpg,grasshopper
dataset/train/weevil/Weevil (161).jpg,weevil
dataset/train/snail/snail (58).jpg,snail
dataset/train/grasshopper/grasshopper (479).jpg,grasshopper
dataset/train/earwig/earwig (280).jpg,earwig
dataset/train/beetle/beetle (316).jpg,beetle
dataset/train/earwig/earwig (158).jpg,earwig
dataset/train/beetle/beetle (382).jpg,beetle
dataset/train/snail/snail (31).jpg,snail
dataset/train/earwig/earwig (29).jpg,earwig
dataset/train/wasp/wasp (668).jpg,wasp
dataset/train/earthworms/earthworms (296).jpg,earthworms
dataset/train/beetle/beetle (227).jpg,beetle
dataset/train/ants/ants (251).jpg,ants
dataset/train/slug/slug (21).jpg,slug
dataset/train/catterpillar/catterpillar (6).jpg,catterpillar
dataset/train/weevil/Weevil (108).jpg,weevil
dataset/train/moth/moth (416).jpg,moth
dataset/train/snail/snail (328).jpg,snail
dataset/train/wasp/wasp (598).jpg,wasp
dataset/train/slug/slug (165).jpg,slug
dataset/train/earwig/earwig (215).jpg,earwig
dataset/train/moth/moth (301).jpg,moth
dataset/train/beetle/beetle (360).jpg,beetle
dataset/train/wasp/wasp (876).jpg,wasp
dataset/train/bees/bees (326).jpg,bees
dataset/train/catterpillar/catterpillar (36).jpg,catterpillar
dataset/train/weevil/Weevil (323).jpg,weevil
dataset/train/grasshopper/grasshopper (80).jpg,grasshopper
dataset/train/beetle/beetle (102).jpg,beetle
dataset/train/snail/snail (70).jpg,snail
dataset/train/snail/snail (275).jpg,snail
dataset/train/snail/snail (7).jpg,snail
dataset/train/snail/snail (84).jpg,snail
dataset/train/catterpillar/catterpillar (24).jpg,catterpillar
dataset/train/earthworms/earthworms (307).jpg,earthworms
dataset/train/slug/slug (247).jpg,slug
dataset/train/grasshopper/grasshopper (218).jpg,grasshopper
dataset/train/moth/moth (293).jpg,moth
dataset/train/bees/bees (483).jpg,bees
